-------------------------------------------------------------------------------------------------------------------------------
|Ce. |Material          |Texto breve de material                 |UMB| Libre utilización| Stock en tránsito|         Bloqueado|
|F006|10037632          |ISOXEL 436                              |L  |        2.310,183 |                0 |                0 |
|F007|10037632          |ISOXEL 436                              |L  |        2.118,939 |                0 |                0 |
|F009|10037632          |ISOXEL 436                              |L  |        2.662,498 |                0 |                0 |
|F011|10037632          |ISOXEL 436                              |L  |        2.457,523 |                0 |                0 |
|F012|10037632          |ISOXEL 436                              |L  |        4.155,994 |                0 |                0 |
|F014|10037632          |ISOXEL 436                              |L  |                0 |                0 |                0 |
|F015|10037632          |ISOXEL 436                              |L  |        3.272,956 |                0 |                0 |
|F020|10037632          |ISOXEL 436                              |L  |                0 |                0 |                0 |
|F030|10037632          |ISOXEL 436                              |L  |        3.254,248 |                0 |                0 |
|F031|10037632          |ISOXEL 436                              |L  |                0 |                0 |                0 |
|F044|10037632          |ISOXEL 436                              |L  |                0 |                0 |                0 |
|F046|10037632          |ISOXEL 436                              |L  |        2.062,950 |                0 |                0 |
|F047|10037632          |ISOXEL 436                              |L  |        2.866,255 |                0 |                0 |
|F048|10037632          |ISOXEL 436                              |L  |                0 |                0 |                0 |
|F049|10037632          |ISOXEL 436                              |L  |        5.109,030 |                0 |                0 |
|F055|10037632          |ISOXEL 436                              |L  |        1.434,205 |                0 |                0 |
|F058|10037632          |ISOXEL 436                              |L  |        3.784,270 |                0 |                0 |
|F061|10037632          |ISOXEL 436                              |L  |        3.023,493 |                0 |                0 |
|F066|10037632          |ISOXEL 436                              |L  |        2.078,878 |                0 |                0 |
|F069|10037632          |ISOXEL 436                              |L  |        1.598,562 |                0 |                0 |
|F075|10037632          |ISOXEL 436                              |L  |        1.841,005 |                0 |                0 |
|F080|10037632          |ISOXEL 436                              |L  |                0 |                0 |                0 |
|F086|10037632          |ISOXEL 436                              |L  |        3.901,553 |                0 |                0 |
|FA04|10037632          |ISOXEL 436                              |L  |        3.172,702 |                0 |                0 |
|FA05|10037632          |ISOXEL 436                              |L  |        2.030,465 |                0 |                0 |
|FB25|10037632          |ISOXEL 436                              |L  |          780,050 |                0 |                0 |
|FB40|10037632          |ISOXEL 436                              |L  |        3.746,840 |                0 |                0 |
|FB63|10037632          |ISOXEL 436                              |L  |        3.001,782 |                0 |                0 |
|FB80|10037632          |ISOXEL 436                              |L  |            2.020 |                0 |                0 |
|FB84|10037632          |ISOXEL 436                              |L  |                0 |                0 |                0 |
